period,period_dot,class
0.507379567,7.235E-16,RADIO PULSAR
1.004958318,7.28E-16,RADIO PULSAR
1.170867244,6.71754E-15,RADIO PULSAR
0.395730639,4.1E-17,RADIO PULSAR
0.849242597,5.70487E-15,RADIO PULSAR
1.011233535,4E-16,RADIO PULSAR
3.418039313,3.12E-14,RADIO PULSAR
1.436630854,5.15822E-14,RADIO PULSAR
0.373392126,4.393E-16,RADIO PULSAR
0.377137778,5.20978E-14,RADIO PULSAR
0.63823381,,RADIO PULSAR
1.081347147,1.57154E-14,RADIO PULSAR
0.566734157,1.4338E-14,RADIO PULSAR
0.183156899,3.191E-17,RADIO PULSAR
0.360957675,3.377E-16,RADIO PULSAR
0.535786514,2.784E-15,RADIO PULSAR
0.276726137,1.42E-15,RADIO PULSAR
0.881438431,1.91E-15,RADIO PULSAR
0.16754,,RADIO PULSAR
0.203556698,1.947E-15,RADIO PULSAR
2.040531574,1.92E-15,RADIO PULSAR
0.472850559,4.39032E-14,RADIO PULSAR
0.526643531,3.78E-16,RADIO PULSAR
0.594575264,6.04E-15,RADIO PULSAR
0.307576752,1.496E-16,RADIO PULSAR
1.011694218,1.6174E-14,RADIO PULSAR
0.935772205,2.3218E-16,RADIO PULSAR
0.2149248,4.06E-17,RADIO PULSAR
1.156360288,6.7E-17,RADIO PULSAR
0.200383946,4.8474E-16,RADIO PULSAR
0.289688895,1.5429E-15,RADIO PULSAR
0.00339271,3.7E-21,RADIO PULSAR
0.572592272,2.9E-17,RADIO PULSAR
0.728154394,1.466E-16,RADIO PULSAR
0.54457,,RADIO PULSAR
0.279737683,9.24577E-15,RADIO PULSAR
0.994680687,1.042E-14,RADIO PULSAR
0.89126454,8.1E-16,RADIO PULSAR
0.214838506,2.18686E-15,RADIO PULSAR
0.899232735,1.55362E-14,RADIO PULSAR
0.769585867,1.92672E-15,RADIO PULSAR
0.003650329,1.68E-19,RADIO PULSAR
0.005786968,-5.9E-21,RADIO PULSAR
0.26104979,3.85739E-16,RADIO PULSAR
0.355665849,1.9E-16,RADIO PULSAR
0.288479334,6.23473E-14,RADIO PULSAR
1.368882243,1.4288E-15,RADIO PULSAR
0.720613772,1.6378E-15,RADIO PULSAR
1.06288,,RADIO PULSAR
0.636414137,1.15E-16,RADIO PULSAR
0.278958415,4.67985E-15,RADIO PULSAR
4.392158713,8.37E-15,RADIO PULSAR
0.008869961,2.63E-20,RADIO PULSAR
1.421124345,9.35E-16,RADIO PULSAR
0.296279212,1.6E-18,RADIO PULSAR
0.839220813,4.96E-14,RADIO PULSAR
0.006927096,1.586E-20,RADIO PULSAR
0.453447753,1.94834E-13,RADIO PULSAR
0.178553873,6.02531E-17,RADIO PULSAR
0.443824608,6.5E-17,RADIO PULSAR
0.447708473,3.129E-17,RADIO PULSAR
0.862122011,3.52539E-15,RADIO PULSAR
0.786468024,2.615E-15,RADIO PULSAR
1.207567765,7.78E-14,RADIO PULSAR
0.746338052,3.5332E-14,RADIO PULSAR
0.580839886,1.18E-14,RADIO PULSAR
0.658013413,2.55931E-16,RADIO PULSAR
0.89053651,2.1156E-15,RADIO PULSAR
0.00485,,RADIO PULSAR
1.444777141,4.65273E-15,RADIO PULSAR
