            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2351376.500000000, A.D. 1725-Oct-01 00:00:00.0000,  9.796423295425961E-01,  2.001762184626012E-01,  1.684736891380258E-04,
2351407.500000000, A.D. 1725-Nov-01 00:00:00.0000,  7.323227717648065E-01,  6.681579080613377E-01,  4.500168317452315E-04,
2351437.500000000, A.D. 1725-Dec-01 00:00:00.0000,  2.936271403232381E-01,  9.405393133212006E-01,  6.009332113940750E-04,
2351468.500000000, A.D. 1726-Jan-01 00:00:00.0000, -2.415883429881868E-01,  9.530769003854718E-01,  5.855976370842282E-04,
2351499.500000000, A.D. 1726-Feb-01 00:00:00.0000, -7.064158093618849E-01,  6.877959032810839E-01,  3.988616349326058E-04,
2351527.500000000, A.D. 1726-Mar-01 00:00:00.0000, -9.534341706902431E-01,  2.734890102274745E-01,  1.286954978499313E-04,
2351558.500000000, A.D. 1726-Apr-01 00:00:00.0000, -9.674080649808309E-01, -2.553373560474166E-01, -2.029874120668647E-04,
2351588.500000000, A.D. 1726-May-01 00:00:00.0000, -7.247235917830088E-01, -7.016543065483151E-01, -4.706014467763983E-04,
2351619.500000000, A.D. 1726-Jun-01 00:00:00.0000, -2.813655736176977E-01, -9.750018763895483E-01, -6.211329062957465E-04,
2351649.500000000, A.D. 1726-Jul-01 00:00:00.0000,  2.207062420461512E-01, -9.926001920944083E-01, -6.083074242557974E-04,
2351680.500000000, A.D. 1726-Aug-01 00:00:00.0000,  6.805475690701952E-01, -7.523717691734141E-01, -4.356411526912199E-04,
2351711.500000000, A.D. 1726-Sep-01 00:00:00.0000,  9.587842227171006E-01, -3.118371179598450E-01, -1.464461349965276E-04,
2351741.500000000, A.D. 1726-Oct-01 00:00:00.0000,  9.805499687526366E-01,  1.959924143789619E-01,  1.710246394379616E-04,
2351772.500000000, A.D. 1726-Nov-01 00:00:00.0000,  7.352564988852677E-01,  6.649988971112486E-01,  4.503545657598610E-04,
2351802.500000000, A.D. 1726-Dec-01 00:00:00.0000,  2.977858908659734E-01,  9.392697198365192E-01,  5.982575888106798E-04,
2351833.500000000, A.D. 1727-Jan-01 00:00:00.0000, -2.373221371129310E-01,  9.541525385248262E-01,  5.793438867046414E-04,
2351864.500000000, A.D. 1727-Feb-01 00:00:00.0000, -7.032746490247269E-01,  6.909473480512397E-01,  3.917510160746401E-04,
2351892.500000000, A.D. 1727-Mar-01 00:00:00.0000, -9.521333976633123E-01,  2.777470175254402E-01,  1.234328938046256E-04,
2351923.500000000, A.D. 1727-Apr-01 00:00:00.0000, -9.684212782723767E-01, -2.510100420933615E-01, -2.045088948427375E-04,
2351953.500000000, A.D. 1727-May-01 00:00:00.0000, -7.276865527728188E-01, -6.983964927795511E-01, -4.683854512304190E-04,
2351984.500000000, A.D. 1727-Jun-01 00:00:00.0000, -2.855277180975415E-01, -9.736704899462048E-01, -6.149553455626184E-04,
2352014.500000000, A.D. 1727-Jul-01 00:00:00.0000,  2.164502560036531E-01, -9.934592516974626E-01, -6.017955020652840E-04,
